Game_ID,Game_Version,Game_Duration





4404458402,12.15.458.1416,1822

4406353188,12.15.458.1416,1518

4406209323,12.15.458.1416,1665

4406221230,12.15.458.1416,1848

4401294929,12.15.458.1416,1256

4404442813,12.15.458.1416,1513

4407028812,12.15.458.1416,1424

4406827188,12.15.458.1416,1844

4403065017,12.15.458.1416,1777

4407119391,12.15.458.1416,917

4407372850,12.15.458.1416,1712

4402897937,12.15.458.1416,1621

4403269132,12.15.458.1416,2100

4406236362,12.15.458.1416,1355

4406814109,12.15.458.1416,1680

4403191279,12.15.458.1416,1220

4405451713,12.15.458.1416,1152

4401465193,12.15.458.1416,1795

4405841125,12.15.458.1416,1358

4404100501,12.15.458.1416,1557

4401297596,12.15.458.1416,1593

4404432146,12.15.458.1416,920

4404806636,12.15.458.1416,1715

4403238141,12.15.458.1416,949

4401649754,12.15.458.1416,1375

4404041277,12.15.458.1416,1773

4405652857,12.15.458.1416,1311

4404535694,12.15.458.1416,1594

4404806751,12.15.458.1416,1483

4404087337,12.15.458.1416,1438

4407151311,12.15.458.1416,935

4404399273,12.15.458.1416,860

4407283866,12.15.458.1416,1858

4403454332,12.15.458.1416,1526

4403145788,12.15.458.1416,2044

4405293982,12.15.458.1416,924

4407474476,12.15.458.1416,1355

4404277073,12.15.458.1416,1186

4406360171,12.15.458.1416,1323

4401224904,12.15.458.1416,2026

4406498765,12.15.458.1416,1338

4406750944,12.15.458.1416,1191

4404300889,12.15.458.1416,2112

4407104758,12.15.458.1416,1667

4404804619,12.15.458.1416,1539

4405389337,12.15.458.1416,1776

4406617377,12.15.458.1416,930

4406146923,12.15.458.1416,2008

4402783387,12.15.458.1416,1476

4401552860,12.15.458.1416,1825

4406230821,12.15.458.1416,1804

4404259574,12.15.458.1416,1159

4403805942,12.15.458.1416,2094

4406016558,12.15.458.1416,1435

4406364502,12.15.458.1416,1210

4403377426,12.15.458.1416,1558

4405237554,12.15.458.1416,1143

4405518493,12.15.458.1416,1442

4407195884,12.15.458.1416,1441

4407585175,12.15.458.1416,3022

4402698011,12.15.458.1416,1271

4406656661,12.15.458.1416,1199

4406159650,12.15.458.1416,1344

4405629469,12.15.458.1416,1456

4402468412,12.15.458.1416,1544

4406313337,12.15.458.1416,1565

4405817238,12.15.458.1416,1506

4404716938,12.15.458.1416,613

4404634223,12.15.458.1416,1691

4402564345,12.15.458.1416,1613

4401660753,12.15.458.1416,1341

4402574563,12.15.458.1416,1297

4405751211,12.15.458.1416,2040

4404424732,12.15.458.1416,1195

4404474017,12.15.458.1416,1543

4400956349,12.15.458.1416,1069

4404469123,12.15.458.1416,1503

4402408888,12.15.458.1416,1680

4404377576,12.15.458.1416,1013

4406104943,12.15.458.1416,1779

4406246109,12.15.458.1416,1097

4406114083,12.15.458.1416,1633

4403561712,12.15.458.1416,1556

4405686589,12.15.458.1416,1132

4402586941,12.15.458.1416,1633

4414375789,12.15.458.1416,1573

4413146857,12.15.458.1416,1463

4413464263,12.15.458.1416,1534

